Source sentence,Answer sentence
"replace entity to label : The hydrochemical results showed that groundwater with high total dissolved solid ( TDS ) concentrations was dominated by sodium bicarbonate ( Na-HCO3 ) , sodium chlorite ( Na-Cl ) , and sodium sulfate ( Na-SO4 ) type waters , whereas low-TDS groundwater from near mountain areas was dominated by calcium bicarbonate ( Ca-HCO3 ) and magnesium bicarbonate ( Mg-HCO3 ) type waters .","replaced sentence is : The hydrochemical results showed that groundwater with high total dissolved solid ( TDS ) concentrations was dominated by HydrochemicalType ( HydrochemicalType ) , HydrochemicalType ( HydrochemicalType ) , and HydrochemicalType ( HydrochemicalType ) type waters , whereas low-TDS groundwater from near mountain areas was dominated by HydrochemicalType ( HydrochemicalType ) and HydrochemicalType ( HydrochemicalType ) type waters ."
"replace entity to label : In the northern and central part of the basin , it appears that the two systems are separated by regional aquiclude forming confined aquifers , in places with artesian wells .","replaced sentence is : In the northern and central part of the basin , it appears that the two systems are separated by regional aquiclude forming AquiferType , in places with artesian wells ."
"replace entity to label : The stable isotope signatures of the qp ( 2-3 ) groundwater samples can be divided into two distinct groups which , respectively , originated from paleo-meteoric water and either was located in paleo-salinized areas of the qp ( 2-3 ) aquifer or resulted from evaporation effect of recharging water prior or during infiltration process .","replaced sentence is : The stable isotope signatures of the qp ( 2-3 ) groundwater samples can be divided into two distinct groups which , respectively , originated from paleo-meteoric water and either was located in paleo-salinized areas of the qp ( 2-3 ) aquifer or resulted from evaporation effect of recharging water prior or during infiltration process ."
replace entity to label : The study area is covered by the Quaternary sedimentary deposits and the Cretaceous granites associated with unconformity .,replaced sentence is : The study area is covered by the GeologicAge sedimentary deposits and the GeologicAge RockType associated with unconformity .
replace entity to label : At the Chalk and Quaternary gravels sites arsenic mobilization is demonstrably linked to reduction of Fe- and Mn-oxides .,replaced sentence is : At the GeologicAge and GeologicAge RockType sites arsenic mobilization is demonstrably linked to reduction of Fe- and Mn-oxides .
"replace entity to label : The results gained by Gibbs diagrams , bivariate plots , saturation index , and the major ions ratios demonstrated that minerals dissolution / precipitation , cation exchange , and human inputs play crucial roles in the unconfined aquifers .","replaced sentence is : The results gained by Gibbs diagrams , bivariate plots , saturation index , and the major ions ratios demonstrated that minerals dissolution / precipitation , cation exchange , and human inputs play crucial roles in the AquiferType ."
"replace entity to label : The results show that the surface water bodies have been badly polluted and are characterized by low pH values ( minimum 2.85 ) and high concentrations of chemical compounds such as Cl- , Na+ , NH4-N , NO3-N and TDS .","replaced sentence is : The results show that the surface water bodies have been badly polluted and are characterized by low pH values ( minimum 2.85 ) and high concentrations of chemical compounds such as Cl- , Na+ , NH4-N , NO3-N and TDS ."
"replace entity to label : The water samples were analyzed for major descriptors ( pH , Temperature , turbidity , major ions , total dissolved solids and electrical conductivity ( EC ) , using standard methods .","replaced sentence is : The water samples were analyzed for major descriptors ( pH , Temperature , turbidity , major ions , total dissolved solids and electrical conductivity ( EC ) , using standard methods ."
replace entity to label : The evaluation of mass balances using geochemical modeling supports the explanation that the freshening process accompanying direct cation exchange occurs through mixing among three end-members involving the K-rich groundwater .,replaced sentence is : The evaluation of mass balances using geochemical modeling supports the explanation that the freshening process accompanying direct cation exchange occurs through mixing among three end-members involving the K-rich groundwater .
replace entity to label : Factor analysis has been applied to the chemical analysis data of 32 water samples collected from dug wells to extract the principal factors corresponding to the sources of variation in the hydrochemistry .,replaced sentence is : Factor analysis has been applied to the chemical analysis data of 32 water samples collected from dug wells to extract the principal factors corresponding to the sources of variation in the hydrochemistry .
"replace entity to label : together with significant evolution of O-18 content , indicate that old groundwater has moved upgradient .","replaced sentence is : together with significant evolution of O-18 content , indicate that GroundwaterType has moved upgradient ."
replace entity to label : Two catchments are well buffered because they contain carbonate-bearing layers in the Upper Bunter sandstone .,replaced sentence is : Two catchments are well buffered because they contain carbonate-bearing layers in the Upper Bunter RockType .
replace entity to label : The older alluvial aquifers are arsenic-safe and recorded maximum concentration as 9 mu g / l .,replaced sentence is : The AquiferType are arsenic-safe and recorded maximum concentration as 9 mu g / l .
"replace entity to label : Waters encountered in the aquifer are identified as complex ( and potentially dynamic ) mixtures between recent recharge waters , modern seawater , and ancient seawater which entered the aquifer many millennia ago .","replaced sentence is : Waters encountered in the aquifer are identified as complex ( and potentially dynamic ) mixtures between recent recharge waters , modern seawater , and ancient seawater which entered the aquifer many millennia ago ."
"replace entity to label : The first of these methods was to determine the source by analyzing the dynamic response law of the groundwater in the water filling aquifers , including a Quaternary porous aquifer and a Cambrian-Ordovician karst aquifer .","replaced sentence is : The first of these methods was to determine the source by analyzing the dynamic response law of the groundwater in the water filling aquifers , including a AquiferType and a AquiferType ."
"replace entity to label : Even a greater rise was observed for ions: Cl- ( 6x ) , Na+ ( 5.5x ) , Mg2+ ( 5.0x ) , Ca2+ , and SO42- ( 3.5x ) .","replaced sentence is : Even a greater rise was observed for ions: Cl- ( 6x ) , Na+ ( 5.5x ) , Mg2+ ( 5.0x ) , Ca2+ , and SO42- ( 3.5x ) ."
replace entity to label : The study of the chemistry of the alluvial aquifer concluded that the hydrochemical behavior is characterized by a large variability in space .,replaced sentence is : The study of the chemistry of the AquiferType concluded that the hydrochemical behavior is characterized by a large variability in space .
"replace entity to label : In a bid to figure out the carbonated reservoir where CO2 mixing occurs , the CW samples represent the condition of the final carbonated water as natural analogues .","replaced sentence is : In a bid to figure out the carbonated reservoir where CO2 mixing occurs , the CW samples represent the condition of the final carbonated water as natural analogues ."
"replace entity to label : The main lithologic units consist chiefly of limestone , dolomite , shale , conglomerate , marl , and igneous rocks .","replaced sentence is : The main lithologic units consist chiefly of RockType , RockType , RockType , RockType , RockType , and RockType ."
"replace entity to label : Moreover , cation exchange between Na+ , Ca2+ , Mg2+ , and K+ , evaporation , and evaporate dissolution are principal processes , which also contribute to groundwater salinization .","replaced sentence is : Moreover , cation exchange between Na+ , Ca2+ , Mg2+ , and K+ , evaporation , and evaporate dissolution are principal processes , which also contribute to groundwater salinization ."
replace entity to label : temperature and depth along the main flow line indicate regular downgradient trends and possible water stratification .,replaced sentence is : temperature and depth along the main flow line indicate regular downgradient trends and possible water stratification .
replace entity to label : The fractured shaly limestone and fractured limestone layers were the main aquifer and their resistivity changed from low to medium ( 11-93 abroken vertical bar m ) .,replaced sentence is : The fractured shaly RockType and fractured RockType layers were the main aquifer and their resistivity changed from low to medium ( 11-93 abroken vertical bar m ) .
"replace entity to label : The predominant geochemical reactions affecting the C-14 activity of DIC include ( 1 ) dissolution of dolomite and anhydrite with calcite precipitation ( dedolomitization ) , ( 2 ) sulfate reduction accompanying microbial degradation of organic carbon , ( 3 ) recrystallization of calcite ( isotopic exchange ) , and ( 4 ) mixing of fresh water with as much as 7% saline water in some coastal areas .","replaced sentence is : The predominant geochemical reactions affecting the C-14 activity of DIC include ( 1 ) dissolution of dolomite and anhydrite with calcite precipitation ( dedolomitization ) , ( 2 ) sulfate reduction accompanying microbial degradation of organic carbon , ( 3 ) recrystallization of calcite ( isotopic exchange ) , and ( 4 ) mixing of fresh water with as much as 7% saline water in some coastal areas ."
replace entity to label : Two aquifers have been identified in the area .,replaced sentence is : Two aquifers have been identified in the area .
replace entity to label : The evaluation of the conceptual models revealed that up to 75% of the groundwater being extracted could proceed from a lower aquifer that has not been monitored .,replaced sentence is : The evaluation of the conceptual models revealed that up to 75% of the groundwater being extracted could proceed from a lower aquifer that has not been monitored .
"replace entity to label : Based on the interpretation , the Jeunib Basin groundwater is generally located in the alkaline earth water facies with higher alkaline content predominantly hydrocarbonate .","replaced sentence is : Based on the interpretation , the GroundwaterType is generally located in the alkaline earth water facies with higher alkaline content predominantly hydrocarbonate ."
"replace entity to label : Ultrabasic rocks enrich groundwater with magnesium while intense hydrothermal activity and extensive alteration zones , which exist locally as a result of a recent volcanic activity , are associated with the existence of sulphate type groundwater and acidic pH in some areas .","replaced sentence is : RockType enrich groundwater with magnesium while intense hydrothermal activity and extensive alteration zones , which exist locally as a result of a recent volcanic activity , are associated with the existence of sulphate type groundwater and acidic pH in some areas ."
replace entity to label : Negative values of ionic change ( e ( change ) ) for Na+ and K+ decreased with the increasing fraction of seawater .,replaced sentence is : Negative values of ionic change ( e ( change ) ) for Na+ and K+ decreased with the increasing fraction of seawater .
"replace entity to label : , indicate a common infiltration event of surface water during the late Pleistocene period .","replaced sentence is : , indicate a common infiltration event of surface water during the GeologicAge period ."
"replace entity to label : ( 2 ) Hydrochemistry composition in groundwater flow system II ( SII ) is influenced by water-rock interaction , freshwater-seawater mixing , evaporation , and reverse cation exchange .","replaced sentence is : ( 2 ) Hydrochemistry composition in groundwater flow system II ( SII ) is influenced by water-rock interaction , freshwater-seawater mixing , evaporation , and reverse cation exchange ."
"replace entity to label : The stochastic Davies-Bouldin index pointed out to an optimal number of four clusters , highlighting significant differences in geochemistry .","replaced sentence is : The stochastic Davies-Bouldin index pointed out to an optimal number of four clusters , highlighting significant differences in geochemistry ."
"replace entity to label : In contrast , the deep confined groundwaters are tritium-free and radiocarbon values range from 18.3 to 26.7 pmc .","replaced sentence is : In contrast , the GroundwaterType are tritium-free and radiocarbon values range from 18.3 to 26.7 pmc ."
replace entity to label : It corresponds to an old end-member in relation with palaeoclimatic recharge which occurred during the Late Pleistocene and the Early Holocene humid periods .,replaced sentence is : It corresponds to an old end-member in relation with palaeoclimatic recharge which occurred during the GeologicAge and the GeologicAge humid periods .
"replace entity to label : Most water samples have high total dissolved solids , with Cl and HCO3 as the dominant anions and Na as the dominant cation .","replaced sentence is : Most water samples have high total dissolved solids , with Cl and HCO3 as the dominant anions and Na as the dominant cation ."
"replace entity to label : The behavior of the major ions showed that the changes in the chemical composition of the groundwater have been mainly controlled by the encroachment of seawater , accompanied by cation exchange reactions .","replaced sentence is : The behavior of the major ions showed that the changes in the chemical composition of the groundwater have been mainly controlled by the encroachment of seawater , accompanied by cation exchange reactions ."
"replace entity to label : Four factors explaining approximate to 92% of the data variability were identified : one related to sodium-potassium ( Na-K ) , chloride ( Cl ) , and magnesium ( Mg ) ; one related to nitrates ( NO3 ) ; one related to bicarbonate ( HCO3 ) ; and one related to calcium ( Ca ) and sulfate ( SO4 ) .","replaced sentence is : Four factors explaining approximate to 92% of the data variability were identified : one related to sodium-potassium ( Na-K ) , chloride ( Cl ) , and magnesium ( Mg ) ; one related to nitrates ( NO3 ) ; one related to bicarbonate ( HCO3 ) ; and one related to calcium ( Ca ) and sulfate ( SO4 ) ."
"replace entity to label : The total dissolved solids ( TDS ) content ranges from 1005 to 19 ,254 mgl ( -1 ) with a mean value of 3477.18 mgl ( -1 ) .","replaced sentence is : The total dissolved solids ( TDS ) content ranges from 1005 to 19 ,254 mgl ( -1 ) with a mean value of 3477.18 mgl ( -1 ) ."
"replace entity to label : The main source of Ca2+ , Mg2+ , SO42- , and HCO3- is the dissolution of calcite , dolomite , and gypsum .","replaced sentence is : The main source of Ca2+ , Mg2+ , SO42- , and HCO3- is the dissolution of calcite , dolomite , and gypsum ."
"replace entity to label : The groundwater flow appeared to be strongly influenced by vertical and lateral lithological heterogeneity of volcanic-sedimentary deposits , as well as by groundwater pumping and drainage by surface micro-channel system .","replaced sentence is : The groundwater flow appeared to be strongly influenced by vertical and lateral lithological heterogeneity of volcanic-sedimentary deposits , as well as by groundwater pumping and drainage by surface micro-channel system ."
"replace entity to label : Temperature , pH , electric conductivity , total dissolved solids , alkalinity , total hardness , SAR , Ca2+ , Na+ , K+ , Mg2+ , Cl- , SO42- , NO3- , HCO3- , water quality and type , saturation indexes and the environmental stable isotope delta O-18 were determined in 149 sampling stations .","replaced sentence is : Temperature , pH , electric conductivity , total dissolved solids , alkalinity , total hardness , SAR , Ca2+ , Na+ , K+ , Mg2+ , Cl- , SO42- , NO3- , HCO3- , water quality and type , saturation indexes and the environmental stable isotope delta O-18 were determined in 149 sampling stations ."
"replace entity to label : The hydrochemical study made it possible to allot the evaporitic origin to the elements Na+ , Mg2+ , K+ , Cl- , and SO4 ( - ) , while for element HCO3 ( - ) , it results from the carbonated formations .","replaced sentence is : The hydrochemical study made it possible to allot the evaporitic origin to the elements Na+ , Mg2+ , K+ , Cl- , and SO4 ( - ) , while for element HCO3 ( - ) , it results from the StratigraphicGroupType ."
"replace entity to label : The geochemical results of eighteen samples of groundwater taken from wells dug in the aquifer of fractured limestone are used to verify the groundwater's hydrogeochemical characteristics and its suitability for different uses , and to assess the processes controlled its chemistry .","replaced sentence is : The geochemical results of eighteen samples of groundwater taken from wells dug in the aquifer of fractured RockType are used to verify the groundwater's hydrogeochemical characteristics and its suitability for different uses , and to assess the processes controlled its chemistry ."
replace entity to label : The unconfined ground water to the north becomes confined to the south .,replaced sentence is : The GroundwaterType to the north becomes confined to the south .
replace entity to label : The deep aquifer groundwater type was found to be HCO ( 3 ) ( - ) -SO ( 4 ) ( 2- ) throughout the entire area .,replaced sentence is : The GroundwaterType type was found to be HCO ( 3 ) ( - ) -SO ( 4 ) ( 2- ) throughout the entire area .
"replace entity to label : The medium-deep groundwater has chemical compositions similar to those of shallow groundwater , except for the local area affected by human activity .","replaced sentence is : The GroundwaterType has chemical compositions similar to those of GroundwaterType , except for the local area affected by human activity ."
"replace entity to label : Using Rn-222 as part of the signatures , EMMA helped to identify end-member samples , and to quantify the mixing proportions of water from the Triassic and the Deep Miocene layers in groundwater pumped by deep agricultural wells screened in the Jurassic .","replaced sentence is : Using Rn-222 as part of the signatures , EMMA helped to identify end-member samples , and to quantify the mixing proportions of water from the GeologicAge and the GeologicAge layers in groundwater pumped by deep agricultural wells screened in the GeologicAge ."
replace entity to label : The maturation of mineral crusts on the Dakota Formation involves the dehydration of hydrous Fe ( 3+ ) and Al minerals .,replaced sentence is : The maturation of mineral crusts on the StratigraphicGroupType involves the dehydration of hydrous Fe ( 3+ ) and Al minerals .
replace entity to label : High concentration of Pb-210 is associated with granitic bedrock and reducing conditions .,replaced sentence is : High concentration of Pb-210 is associated with RockType and reducing conditions .
"replace entity to label : The minerals saturation indices ( SI ) , ion ratios and oxygen isotope values of the groundwater indicated that the shallow groundwater had mainly experienced mineral dissolution , cation exchange , and mixing of the irrigated surface waters and groundwater .","replaced sentence is : The minerals saturation indices ( SI ) , ion ratios and oxygen isotope values of the groundwater indicated that the GroundwaterType had mainly experienced mineral dissolution , cation exchange , and mixing of the irrigated surface waters and groundwater ."
replace entity to label : Ionic ratio and saturation index calculations suggest that silicate rock weathering and evaporation deposition are the main processes that determine the ionic composition in the study area .,replaced sentence is : Ionic ratio and saturation index calculations suggest that RockType weathering and evaporation deposition are the main processes that determine the ionic composition in the study area .
replace entity to label : EC methods were also conducted to obtain new informations on the spatial scales and dynamics of the fresh water-seawater interface of coastal groundwater exchange .,replaced sentence is : EC methods were also conducted to obtain new informations on the spatial scales and dynamics of the fresh water-seawater interface of GroundwaterType exchange .
replace entity to label : The aquifer lithology consists of fractured Lower Cambrian sandstones resting on Proterozoic crystalline basement .,replaced sentence is : The aquifer lithology consists of fractured GeologicAge RockType resting on GeologicAge crystalline basement .
replace entity to label : The methodology identified four groundwater sources : 1 ) river / flood water ; 2 ) modified river / flood water ; 3 ) groundwater recharged through regional volcanic materials and 4 ) groundwater recharged predominantly through sands and / or sandstone materials .,replaced sentence is : The methodology identified four groundwater sources : 1 ) river / flood water ; 2 ) modified river / flood water ; 3 ) groundwater recharged through regional volcanic materials and 4 ) groundwater recharged predominantly through sands and / or RockType materials .
"replace entity to label : The results show that geologically the study location is an area located in three types of geological formations , namely the Idi Formation , Young Alluvium , and the Olim Volcano .","replaced sentence is : The results show that geologically the study location is an area located in three types of geological formations , namely the StratigraphicGroupType , Young Alluvium , and the Olim Volcano ."
"replace entity to label : It is composed of sandstones , conglomerates , limestones and more or less argillaceous sands .","replaced sentence is : It is composed of RockType , RockType , RockType and more or less RockType ."
replace entity to label : The aquifer system is more complex than presumed as the hydrochemical and stable isotope compositions of groundwater samples in the Middle-Upper Pleistocene ( qp ( 2-3 ) ) aquifer differ significantly in lateral direction .,replaced sentence is : The aquifer system is more complex than presumed as the hydrochemical and stable isotope compositions of groundwater samples in the GeologicAge ( qp ( 2-3 ) ) aquifer differ significantly in lateral direction .
"replace entity to label : The results showed that the shallow groundwater was slightly alkaline , and the average values of total dissolved solids ( TDS ) and total hardness ( TH ) were 930.74 mg / L and 436.20 mg / L , respectively .","replaced sentence is : The results showed that the GroundwaterType was slightly alkaline , and the average values of total dissolved solids ( TDS ) and total hardness ( TH ) were 930.74 mg / L and 436.20 mg / L , respectively ."
replace entity to label : Umm Er Radhuma groundwater is saturated with respect to calcite but unsaturated for anhydrite in the northern part of the study area .,replaced sentence is : GroundwaterType is saturated with respect to calcite but unsaturated for anhydrite in the northern part of the study area .
"replace entity to label : Recently infiltrated acid ground water is present on higher grounds , neutral-to-alkaline irrigation water discharges at the upper fen margin , and deep ground water that is rich in iron discharges in the lower parts .","replaced sentence is : Recently infiltrated acid ground water is present on higher grounds , neutral-to-alkaline irrigation water discharges at the upper fen margin , and GroundwaterType that is rich in iron discharges in the lower parts ."
replace entity to label : ( 2 ) Major ion chemistry and hydrogen and oxygen isotope compositions indicate that the major hydrogeochemical processes responsible for groundwater quality deterioration include the dissolution of evaporates ( i.e .,replaced sentence is : ( 2 ) Major ion chemistry and hydrogen and oxygen isotope compositions indicate that the major hydrogeochemical processes responsible for groundwater quality deterioration include the dissolution of RockType ( i.e .
"replace entity to label : The hydrochemical facies a and b dominate within shallow depths in recharge areas under rapid flow conditions , while hydrochemical facies c characterizes shallow and mixed groundwater .","replaced sentence is : The hydrochemical facies a and b dominate within shallow depths in recharge areas under rapid flow conditions , while hydrochemical facies c characterizes GroundwaterType ."
replace entity to label : The delta O-18 and delta H-2 values of deep thermal groundwater are depleted relative to the shallow groundwater in the rift floor .,replaced sentence is : The delta O-18 and delta H-2 values of deep thermal groundwater are depleted relative to the GroundwaterType in the rift floor .
replace entity to label : The Saint-Jules Formation is locally overlain by a massive groundwater calcrete several metres in thickness .,replaced sentence is : The StratigraphicGroupType is locally overlain by a massive groundwater RockType several metres in thickness .
"replace entity to label : No groundwaters from Quaternary deposits exceed maximum recommended concentrations for Rn , F- and Na , while 10% fall outside the required pH range .","replaced sentence is : No groundwaters from GeologicAge deposits exceed maximum recommended concentrations for Rn , F- and Na , while 10% fall outside the required pH range ."
"replace entity to label : Results from hydrochemical analyses reveal that groundwater is mostly affected by salty ( Na+-Cl- ) waters of the Incik Formation and brackish ( Ca2+ , Mg2+-SO42- ) waters of the Baydur Formation .","replaced sentence is : Results from hydrochemical analyses reveal that groundwater is mostly affected by salty ( Na+-Cl- ) waters of the StratigraphicGroupType and brackish ( Ca2+ , Mg2+-SO42- ) waters of the StratigraphicGroupType ."
"replace entity to label : The origin of the contamination is Cevirme Formation lithologic units , lying southwest of the study area , underlying the aquifer and consisting of claystone and gypsiferous marls .","replaced sentence is : The origin of the contamination is StratigraphicGroupType lithologic units , lying southwest of the study area , underlying the aquifer and consisting of RockType and RockType ."
"replace entity to label : Hydrologically speaking , the aquifer unit is composed of the Punta Medanos Formation , the Mar de Ajo Facies and the upper section of the Destacamento Rio Salado Facies , while the clayey levels act as an aquitard / aquiclude .","replaced sentence is : Hydrologically speaking , the aquifer unit is composed of the StratigraphicGroupType , the Mar de Ajo Facies and the upper section of the Destacamento Rio Salado Facies , while the clayey levels act as an aquitard / aquiclude ."
"replace entity to label : High As groundwater was distinguished with weak alkaline pH value , moderate HCO3- and total dissolve solid ( TDS ) , and low NO3- and SO42 concentrations .","replaced sentence is : GroundwaterType was distinguished with weak alkaline pH value , moderate HCO3- and total dissolve solid ( TDS ) , and low NO3- and SO42 concentrations ."
replace entity to label : Some of these TEs ( notably Cu and Ni ) recorded higher concentrations in the dolomitic limestone regardless of salinization .,replaced sentence is : Some of these TEs ( notably Cu and Ni ) recorded higher concentrations in the RockType regardless of salinization .
"replace entity to label : Ajali Sandstone , known as major aquiferous layer in the area , outcrops predominately in sandy bed with medium to coarse-grained sediments .","replaced sentence is : RockType , known as major aquiferous layer in the area , outcrops predominately in sandy bed with medium to coarse-grained sediments ."
"replace entity to label : In RV , the water interacts with dolomite rocks and gypsum layers , whereas in CC the dolomite content is depleted and the influence of limestone rocks increases .","replaced sentence is : In RV , the water interacts with RockType and gypsum layers , whereas in CC the dolomite content is depleted and the influence of RockType increases ."
replace entity to label : This is interpreted as evidence for additional non-brine salinization input probably from the surrounding sediments of the Lisan Formation .,replaced sentence is : This is interpreted as evidence for additional non-brine salinization input probably from the surrounding sediments of the StratigraphicGroupType .
replace entity to label : The Mansfelder Schlotten can be classified as strata-boundary caves between limestone and anhydrite rock .,replaced sentence is : The Mansfelder Schlotten can be classified as strata-boundary caves between RockType and RockType .
replace entity to label : The deep confined groundwater samples are significantly less impacted by surface activities .,replaced sentence is : The GroundwaterType samples are significantly less impacted by surface activities .
replace entity to label : Two water-bearing layers exist in the study area : the Nubian Sandstone Formation and the Al-Atshan Formation .,replaced sentence is : Two water-bearing layers exist in the study area : the StratigraphicGroupType and the StratigraphicGroupType .
"replace entity to label : It appears that a key mechanism for arsenic mobilizing to deep wells is microbial biodegradation of petroleum related organic matters ( PROMs ) , which exist in aquifer sediments and originates from the bedrock of the aquifer ( Gachsaran Formation ) .","replaced sentence is : It appears that a key mechanism for arsenic mobilizing to deep wells is microbial biodegradation of petroleum related organic matters ( PROMs ) , which exist in aquifer sediments and originates from the bedrock of the aquifer ( StratigraphicGroupType ) ."
replace entity to label : The hydrogeology of the area includes two aquifers ( ophiolitic rocks and alluvial deposits ) .,replaced sentence is : The hydrogeology of the area includes two aquifers ( RockType and alluvial deposits ) .
"replace entity to label : groundwater quality degradation occurred and developed in the study area , as indicated by increasing concentrations of major ions , TDS and hardness in both shallow and deep groundwater .","replaced sentence is : groundwater quality degradation occurred and developed in the study area , as indicated by increasing concentrations of major ions , TDS and hardness in both GroundwaterType ."
replace entity to label : Groundwater in the basin occurs in Quaternary alluvium and fractures in highly consolidated Alwar quartzites .,replaced sentence is : Groundwater in the basin occurs in GeologicAge alluvium and fractures in highly consolidated Alwar RockType .
replace entity to label : The study results imply that there can be deep reservoirs and shallow reservoirs responsible for developing carbonated groundwater .,replaced sentence is : The study results imply that there can be deep reservoirs and shallow reservoirs responsible for developing GroundwaterType .
replace entity to label : Results showed that the shallow groundwater in this estuarine coastal zone is weakly alkaline .,replaced sentence is : Results showed that the GroundwaterType in this estuarine coastal zone is weakly alkaline .
"replace entity to label : Fluoride is also present in high As groundwater , ranging between 0.40 and 3.36 mg / l .","replaced sentence is : Fluoride is also present in GroundwaterType , ranging between 0.40 and 3.36 mg / l ."
"replace entity to label : Compilation parameters total dissolved solids and dissolved ion of groundwater contamination is divided into three zones , namely a low polluted zone , middle polluted zone and high polluted zone with groundwater pollution spread pattern trending east / northeast in the direction of unconfined groundwater flow .","replaced sentence is : Compilation parameters total dissolved solids and dissolved ion of groundwater contamination is divided into three zones , namely a low polluted zone , middle polluted zone and high polluted zone with groundwater pollution spread pattern trending east / northeast in the direction of GroundwaterType flow ."
"replace entity to label : As compared to deep aquifers , shallow aquifer groundwaters are more polluted and have high concentration of NO3 ( - ) .",replaced sentence is : As compared to GroundwaterType are more polluted and have high concentration of NO3 ( - ) .
"replace entity to label : Shallow groundwater in the recharge areas and discharge areas were recharged during the Holocene and late Pleistocene , respectively .","replaced sentence is : GroundwaterType in the recharge areas and discharge areas were recharged during the GeologicAge and GeologicAge , respectively ."
"replace entity to label : Our results show that shallow phreatic and deep confined groundwater differ greatly in their compositions , with a distinct spatial heterogeneity of phreatic groundwater TDS ( from 365 mg / L to 5833 mg / L ) , which increase along the shallow groundwater flow paths .","replaced sentence is : Our results show that GroundwaterType differ greatly in their compositions , with a distinct spatial heterogeneity of GroundwaterType TDS ( from 365 mg / L to 5833 mg / L ) , which increase along the GroundwaterType flow paths ."
replace entity to label : The main hydrogeochemical process is weathering of the silicates in the shallow groundwater system .,replaced sentence is : The main hydrogeochemical process is weathering of the silicates in the GroundwaterType system .
"replace entity to label : The highest concentrations of major ions were found in the central region , where the most karstified area from the Sete Lagoas Formation is located .","replaced sentence is : The highest concentrations of major ions were found in the central region , where the most karstified area from the StratigraphicGroupType is located ."
replace entity to label : The Cl / Br molar ratio and Sr-87 / Sr-86 signatures of groundwater and sediment pore water further suggest the effects of mixing with compaction-released pore solution on the hydrochemical evolution of high iodine groundwater .,replaced sentence is : The Cl / Br molar ratio and Sr-87 / Sr-86 signatures of groundwater and sediment GroundwaterType further suggest the effects of mixing with compaction-released pore solution on the hydrochemical evolution of GroundwaterType .
"replace entity to label : Results demonstrate that the main factors , controlling the shallow water salinization , are the SO42- , NO3- , Cl- and K+ .","replaced sentence is : Results demonstrate that the main factors , controlling the GroundwaterType salinization , are the SO42- , NO3- , Cl- and K+ ."
"replace entity to label : The major ion hydrochemistry and environmental isotope composition ( O-18 , H-2 ) of the Tazoghrane shallow groundwaters were investigated to identify the sources and processes that affect the groundwater composition .","replaced sentence is : The major ion hydrochemistry and environmental isotope composition ( O-18 , H-2 ) of the GroundwaterType were investigated to identify the sources and processes that affect the groundwater composition ."
replace entity to label : The hydrochemical and multivariate statistical techniques such as the principal component analysis ( PCA ) and the cluster analysis ( CA ) were used to identify the hydrochemical processes and their relation with groundwater quality and also to get an insight into the hydrochemical Zana aquifer groundwater chemistry evaluation .,replaced sentence is : The hydrochemical and multivariate statistical techniques such as the principal component analysis ( PCA ) and the cluster analysis ( CA ) were used to identify the hydrochemical processes and their relation with groundwater quality and also to get an insight into the hydrochemical GroundwaterType chemistry evaluation .
replace entity to label : The five key indicators of the chemical evolution of these basalt-hosted groundwaters have been used in a rating-based classification scheme .,replaced sentence is : The five key indicators of the chemical evolution of these GroundwaterType have been used in a rating-based classification scheme .
"replace entity to label : The findings suggest that in certain situations after tunnel excavation , depending on geological and changing hydraulic conditions , the excavation damaged zone around the tunnel provides a hydraulic short circuit between the weathered Gipskeuper and the anhydrite-bearing strata of the unweathered Gipskeuper .","replaced sentence is : The findings suggest that in certain situations after tunnel excavation , depending on geological and changing hydraulic conditions , the excavation damaged zone around the tunnel provides a hydraulic short circuit between the weathered Gipskeuper and the StratigraphicGroupType of the unweathered Gipskeuper ."
"replace entity to label : In this study , a combination of onsite monitoring and indoor experiments was used to analyze the variation characteristics of the hydrochemical composition of pore water during riverbank infiltration , as well as the main hydrochemical effects and influencing factors .","replaced sentence is : In this study , a combination of onsite monitoring and indoor experiments was used to analyze the variation characteristics of the hydrochemical composition of GroundwaterType during riverbank infiltration , as well as the main hydrochemical effects and influencing factors ."
"replace entity to label : The high concentrations of nitrates and chlorides are indicators of anthropogenic pollution , The use of principal component analysis and hierarchical cluster analysis has shown that two main factors accounting 67.13% of the information of variability within the dataset confirm the existence of dissolution of evaporitic minerals and the mechanisms of nitrate increasing the salinity of the Manouba groundwater .","replaced sentence is : The high concentrations of nitrates and chlorides are indicators of anthropogenic pollution , The use of principal component analysis and hierarchical cluster analysis has shown that two main factors accounting 67.13% of the information of variability within the dataset confirm the existence of dissolution of evaporitic minerals and the mechanisms of nitrate increasing the salinity of the GroundwaterType ."
"replace entity to label : The results of the model show that the flow system is consistent with the gross features of the hydrochemical distributions , such as saline water ingress distances , modern recharge water distributions , and the occurrence of old saline groundwater ( with the longest residence times ) .","replaced sentence is : The results of the model show that the flow system is consistent with the gross features of the hydrochemical distributions , such as saline water ingress distances , modern recharge water distributions , and the occurrence of old GroundwaterType ( with the longest residence times ) ."
"replace entity to label : Samples from Schist and Triassic sediments are relatively more mineralised , thus unsuitable for drinking as well as agricultural purposes .","replaced sentence is : Samples from Schist and GeologicAge sediments are relatively more mineralised , thus unsuitable for drinking as well as agricultural purposes ."
